id;username;rol;personaId;salt;passwordHash
U17;gabriel.soto;PROFESOR;A130;m1n2o3p4q5r6;0a779998da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
U18;hugo.pena;ALUMNO;A131;s7t8u9v0w1x2;1b880098da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
U19;irene.medina;ALUMNO;A132;y3z4a5b6c7d8;2c990198da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
U20;jorge.silva;PROFESOR;A133;e9f0g1h2i3j4;3daa0298da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
U21;karen.orellana;ALUMNO;A134;k5l6m7n8o9p0;4ebb0398da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
U22;leonardo.munoz;ALUMNO;A135;q1r2s3t4u5v6;5fcc0498da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
U23;marcela.torres;PROFESOR;A136;w7x8y9z0a1b2;6fdd0598da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
U24;nicolas.vargas;ALUMNO;A137;c3d4e5f6g7h8;7fee0698da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
U25;olivia.riquelme;ALUMNO;A138;i9j0k1l2m3n4;8fff0798da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
U26;pablo.contreras;PROFESOR;A139;o5p6q7r8s9t0;9a110898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
U27;quintin.reyes;ALUMNO;A140;u1v2w3x4y5z6;0b220998da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
U28;rocio.mendez;ALUMNO;A141;a7b8c9d0e1f2;1c331098da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
U29;sebastian.lagos;PROFESOR;A142;g3h4i5j6k7l8;2d441198da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
U30;tamara.fuentes;ALUMNO;A143;m9n0o1p2q3r4;3e551298da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
U31;ulises.mora;ALUMNO;A144;s5t6u7v8w9x0;4f661398da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
U32;veronica.diaz;PROFESOR;A145;y1z2a3b4c5d6;5f771498da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
U33;walter.rojas;ALUMNO;A146;e7f8g9h0i1j2;6f881598da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
U34;ximena.paredes;ALUMNO;A147;k3l4m5n6o7p8;7f991698da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
U35;yerko.silva;PROFESOR;A148;q9r0s1t2u3v4;8faa1798da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
U36;zoe.mendoza;ALUMNO;A149;w5x6y7z8a9b0;9fbb1898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
U37;alvaro.torres;ALUMNO;A150;c1d2e3f4g5h6;0fcc1998da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
U38;barbara.soto;ALUMNO;A151;i7j8k9l0m1n2;1fdd2098da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
U39;cesar.lopez;PROFESOR;A152;o3p4q5r6s7t8;2fee2198da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
U40;diana.morales;ALUMNO;A153;u9v0w1x2y3z4;3fff2298da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
U41;ernesto.jara;ALUMNO;A154;a5b6c7d8e9f0;4a112398da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
U42;fabiola.rios;PROFESOR;A155;g1h2i3j4k5l6;5b222498da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
U43;gustavo.pena;ALUMNO;A156;m7n8o9p0q1r2;6c332598da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
U44;helena.medina;ALUMNO;A157;s3t4u5v6w7x8;7d442698da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
U45;ignacio.silva;PROFESOR;A158;y9z0a1b2c3d4;8e552798da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
U46;iris.orellana;ALUMNO;A159;e5f6g7h8i9j0;9f662898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
U47;jacobo.munoz;ALUMNO;A160;k1l2m3n4o5p6;0a772998da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
U48;katherine.torres;ALUMNO;A161;q7r8s9t0u1v2;1b883098da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
U49;luis.vargas;PROFESOR;A162;w3x4y5z6a7b8;2c993198da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
U50;marta.riquelme;ALUMNO;A163;c9d0e1f2g3h4;3daa3298da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
